Reverse Voltage;Leakage current density
V;nA/cm2
0;0.20718
1;2.76873
2;2.97591
3;3.10776
4;3.22077
5;3.33378
6;3.40912
7;3.48446
8;3.5598
9;3.6163
10;3.65397
11;3.71048
12;3.74815
13;3.78582
14;3.82349
15;3.86116
16;3.87999
17;3.91766
18;3.91766
19;3.91766
20;3.95533
21;3.97416
22;3.95533
23;3.97416
24;3.97416
25;4.01183
26;3.993
27;4.01183
28;4.01183
29;3.993
30;4.01183
31;4.03067
32;4.0495
33;4.03067
34;4.03067
35;4.0495
36;4.01183
37;4.0495
38;4.01183
39;4.03067
40;4.0495
41;4.03067
42;4.06834
43;4.0495
44;4.06834
45;4.08717
46;4.0495
47;4.06834
48;4.08717
49;4.06834
50;4.06834
51;4.0495
52;4.0495
53;4.08717
54;4.06834
55;4.06834
56;4.08717
57;4.08717
58;4.08717
59;4.08717
60;4.08717
61;4.10601
62;4.06834
63;4.08717
64;4.08717
65;4.10601
66;4.08717
67;4.08717
68;4.08717
69;4.10601
70;4.08717
71;4.08717
72;4.10601
73;4.10601
74;4.10601
75;4.12484
76;4.12484
77;4.12484
78;4.12484
79;4.14368
80;4.16251
81;4.14368
82;4.12484
83;4.14368
84;4.14368
85;4.18135
86;4.16251
87;4.18135
88;4.16251
89;4.18135
90;4.21902
91;4.20018
92;4.23785
93;4.25669
94;4.23785
95;4.25669
96;4.27552
97;4.31319
98;4.33203
99;4.35086
100;4.35086
